,0
1044,1084
1045,1085
1046,1086
1047,1087
1048,1088
1049,1089
1050,1090
1051,1091
1052,1092
1053,1093
1054,1094
1055,1095
1056,1096
1057,1097
1058,1098
1059,1099
1060,1100
1061,1101
1062,1102
1063,1103
1064,1104
1065,1105
1066,1106
1067,1107
1068,1108
1069,1109
1070,1110
1071,1111
1072,1112
1073,1113
1074,1114
1075,1115
1076,1116
1077,1117
1078,1118
1079,1119
1080,1120
1081,1121
1082,1122
1083,1123
1084,1124
1085,1125
1086,1126
1087,1127
1088,1128
1089,1129
1090,1130
1091,1131
1092,1132
1093,1133
1094,1134
1095,1135
1096,1136
1097,1137
1098,1138
1099,1139
1100,1140
1101,1141
1102,1142
1103,1143
1104,1144
1105,1145
1106,1146
1107,1147
1108,1148
1109,1149
1110,1150
1111,1151
1112,1152
1113,1153
1114,1154
1115,1155
1116,1156
1117,1157
1118,1158
1119,1159
1120,1160
1121,1161
1122,1162
1123,1163
1124,1164
1125,1165
1126,1166
1127,1167
1128,1168
1129,1169
1130,1170
1131,1171
1132,1172
1133,1173
1134,1174
1135,1175
1136,1176
1137,1177
1138,1178
1139,1179
1140,1180
1141,1181
1142,1182
1143,1183
1144,1184
1145,1185
1146,1186
1147,1187
1148,1188
1149,1189
1150,1190
1151,1191
1152,1192
1153,1193
1154,1194
1155,1195
1156,1196
1157,1197
1158,1198
1159,1199
1160,1200
1161,1201
1162,1202
1163,1203
1164,1204
1165,1205
1166,1206
1167,1207
1168,1208
1169,1209
1170,1210
1171,1211
1172,1212
1173,1213
1174,1214
1175,1215
1176,1216
1177,1217
1178,1218
1179,1219
1180,1220
1181,1221
1182,1222
1183,1223
1184,1224
1185,1225
1186,1226
1187,1227
1188,1228
1189,1229
1190,1230
1191,1231
1192,1232
1193,1233
1194,1234
1195,1235
1196,1236
1197,1237
1198,1238
1199,1239
1200,1240
1201,1241
1202,1242
1203,1243
1204,1244
1205,1245
1206,1246
1207,1247
1208,1248
1209,1249
1210,1250
1211,1251
1212,1252
1213,1253
1214,1254
1215,1255
1216,1256
1217,1257
1218,1258
1219,1259
1220,1260
1221,1261
1222,1262
1223,1263
1224,1264
1225,1265
1226,1266
1227,1267
1228,1268
1229,1269
1230,1270
1231,1271
1232,1272
1233,1273
1234,1274
1235,1275
1236,1276
1237,1277
1238,1278
1239,1279
1240,1280
1241,1281
1242,1282
1243,1283
1244,1284
1245,1285
1246,1286
1247,1287
1248,1288
1249,1289
1250,1290
1251,1291
1252,1292
1253,1293
1254,1294
1255,1295
1256,1296
1257,1297
1258,1298
1259,1299
1260,1300
1261,1301
1262,1302
1263,1303
1264,1304
1265,1305
1266,1306
1267,1307
1268,1308
1269,1309
1270,1310
1271,1311
1272,1312
1273,1313
1274,1314
1275,1315
1276,1316
1277,1317
1278,1318
1279,1319
1280,1320
1281,1321
1282,1322
1283,1323
1284,1324
1285,1325
1286,1326
1287,1327
1288,1328
1289,1329
1290,1330
1291,1331
1292,1332
1293,1333
1294,1334
1295,1335
1296,1336
1297,1337
1298,1338
1299,1339
1300,1340
1301,1341
1302,1342
1303,1343
1304,1344
1305,1345
1306,1346
1307,1347
1308,1348
1309,1349
1310,1350
1311,1351
1312,1352
1313,1353
1314,1354
1315,1355
1316,1356
1317,1357
1318,1358
1319,1359
1320,1360
1321,1361
1322,1362
1323,1363
1324,1364
1325,1365
1326,1366
1327,1367
1328,1368
1329,1369
1330,1370
1331,1371
1332,1372
1333,1373
1334,1374
1335,1375
1336,1376
1337,1377
1338,1378
1339,1379
1340,1380
1341,1381
1342,1382
1343,1383
1344,1384
1345,1385
1346,1386
1347,1387
1348,1388
1349,1389
1350,1390
1351,1391
1352,1392
1353,1393
1354,1394
1355,1395
1356,1396
1357,1397
1358,1398
1359,1399
1360,1400
1361,1401
1362,1402
1363,1403
1364,1404
1365,1405
1366,1406
1367,1407
1368,1408
1369,1409
1370,1410
1371,1411
1372,1412
1373,1413
1374,1414
1375,1415
1376,1416
1377,1417
1378,1418
1379,1419
1380,1420
1381,1421
1382,1422
1383,1423
1384,1424
1385,1425
1386,1426
1387,1427
1388,1428
1389,1429
1390,1430
1391,1431
1392,1432
1393,1433
1394,1434
1395,1435
1396,1436
1397,1437
1398,1438
1399,1439
1400,1440
1401,1441
1402,1442
1403,1443
1404,1444
1405,1445
1406,1446
1407,1447
1408,1448
1409,1449
1410,1450
1411,1451
1412,1452
1413,1453
1414,1454
1415,1455
1416,1456
1417,1457
1418,1458
1419,1459
1420,1460
1421,1461
1422,1462
1423,1463
1424,1464
1425,1465
1426,1466
1427,1467
1428,1468
1429,1469
1430,1470
1431,1471
1432,1472
1433,1473
1434,1474
1435,1475
1436,1476
1437,1477
1438,1478
1439,1479
1440,1480
1441,1481
1442,1482
1443,1483
1444,1484
1445,1485
1446,1486
1447,1487
1448,1488
1449,1489
1450,1490
1451,1491
1452,1492
1453,1493
1454,1494
1455,1495
1456,1496
1457,1497
1458,1498
1459,1499
1460,1500
1461,1501
1462,1502
1463,1503
1464,1504
1465,1505
1466,1506
1467,1507
1468,1508
1469,1509
1470,1510
1471,1511
1472,1512
1473,1513
1474,1514
1475,1515
1476,1516
1477,1517
1478,1518
1479,1519
1480,1520
1481,1521
1482,1522
1483,1523
1484,1524
1485,1525
1486,1526
1487,1527
1488,1528
1489,1529
1490,1530
1491,1531
1492,1532
1493,1533
1494,1534
1495,1535
1496,1536
1497,1537
1498,1538
1499,1539
1500,1540
1501,1541
1502,1542
1503,1543
1504,1544
1505,1545
1506,1546
1507,1547
1508,1548
1509,1549
1510,1550
1511,1551
1512,1552
1513,1553
